sl no,Detection Name,Category,TTP,Severity
1,Bitbucket Audit Log Configuration Updated,application,T1685,medium
2,Bitbucket Full Data Export Triggered,application,T1213.003,high
3,Bitbucket Global Permission Changed,application,T1098,medium
4,Bitbucket Global Secret Scanning Rule Deleted,application,T1685,medium
5,Bitbucket Global SSH Settings Changed,application,"T1685, T1021.004",medium
6,Bitbucket Project Secret Scanning Allowlist Added,application,T1685,low
7,Bitbucket Secret Scanning Exempt Repository Added,application,T1685,high
8,Bitbucket Secret Scanning Rule Deleted,application,T1685,low
9,Bitbucket Unauthorized Access To A Resource,application,T1586,critical
10,Bitbucket Unauthorized Full Data Export Triggered,application,"T1213.003, T1586",critical
11,Bitbucket User Details Export Attempt Detected,application,"T1213, T1082, T1591.004",medium
12,Bitbucket User Login Failure,application,"T1078.004, T1110",medium
13,Bitbucket User Login Failure Via SSH,application,"T1021.004, T1110",medium
14,Bitbucket User Permissions Export Attempt,application,"T1213, T1082, T1591.004",medium
15,Container With A hostPath Mount Created,application,T1611,low
16,Creation Of Pod In System Namespace,application,T1036.005,medium
17,Deployment Deleted From Kubernetes Cluster,application,T1498,low
18,Django Framework Exceptions,application,T1190,medium
19,Github Delete Action Invoked,application,T1213.003,medium
20,Github Fork Private Repositories Setting Enabled/Cleared,application,"T1020, T1537",medium
21,Github High Risk Configuration Disabled,application,T1556,high
22,Github New Secret Created,application,T1078.004,low
23,Github Outside Collaborator Detected,application,"T1098.001, T1098.003, T1213.003",medium
24,Github Push Protection Bypass Detected,application,T1685,low
25,Github Push Protection Disabled,application,T1685,high
26,GitHub Repository Archive Status Changed,application,,low
27,GitHub Repository Pages Site Changed to Public,application,T1567.001,low
28,Github Repository/Organization Transferred,application,"T1020, T1537",medium
29,Github Secret Scanning Feature Disabled,application,T1685,high
30,Github Self Hosted Runner Changes Detected,application,"T1526, T1213.003, T1078.004",low
31,Github SSH Certificate Configuration Changed,application,T1078.004,medium
32,Kubernetes Admission Controller Modification,application,"T1078, T1552, T1552.007",medium
33,Kubernetes CronJob/Job Modification,application,,medium
34,Kubernetes Events Deleted,application,T1070,medium
35,Kubernetes Potential Enumeration Activity,application,"T1609, T1613",medium
36,Kubernetes Rolebinding Modification,application,,medium
37,Kubernetes Secrets Enumeration,application,T1552.007,low
38,Kubernetes Secrets Modified or Deleted,application,,medium
39,Kubernetes Unauthorized or Unauthenticated Access,application,,low
40,New Github Organization Member Added,application,T1136.003,informational
41,New Kubernetes Service Account Created,application,T1136,low
42,OpenCanary - FTP Login Attempt,application,"T1190, T1021",high
43,OpenCanary - GIT Clone Request,application,T1213,high
44,OpenCanary - Host Port Scan (SYN Scan),application,T1046,high
45,OpenCanary - HTTP GET Request,application,T1190,high
46,OpenCanary - HTTP POST Login Attempt,application,T1190,high
47,OpenCanary - HTTPPROXY Login Attempt,application,T1090,high
48,OpenCanary - MSSQL Login Attempt Via SQLAuth,application,"T1003, T1213",high
49,OpenCanary - MSSQL Login Attempt Via Windows Authentication,application,"T1003, T1213",high
