sl no,Detection Name,Category,TTP,Severity
1,Antivirus - Exploitation Framework Signature,category,"T1203, T1219.002",critical
2,Antivirus - Hacktool Signature,category,T1204,high
3,Antivirus - Password Dumper Signature,category,"T1003, T1558, T1003.001, T1003.002",critical
4,Antivirus - Ransomware Signature,category,T1486,critical
5,Antivirus - Relevant File Paths Alerts Signature,category,T1588,high
6,Antivirus - Remote Access Tools Signature,category,"T1203, T1219.002",critical
7,Antivirus - Web Shell Detection Signature,category,T1505.003,high
8,Suspicious SQL Query,category,"T1190, T1505.001",medium
9,Account Created And Deleted Within A Close Time Frame,cloud,T1078,high
10,Account Disabled or Blocked for Sign in Attempts,cloud,T1078.004,medium
11,Account Lockout,cloud,T1110,medium
12,Activity From Anonymous IP Address,cloud,T1078,high
13,Activity from Anonymous IP Addresses,cloud,T1573,medium
14,Activity from Infrequent Country,cloud,T1573,medium
15,Activity from Suspicious IP Addresses,cloud,T1573,medium
16,Activity Performed by Terminated User,cloud,,medium
17,Added Credentials to Existing Application,cloud,T1098.001,high
18,Added Owner To Application,cloud,T1552,medium
19,Anomalous Token,cloud,T1528,high
20,Anomalous User Activity,cloud,T1098,high
21,Anonymous IP Address,cloud,T1528,high
22,App Assigned To Azure RBAC/Microsoft Entra Role,cloud,T1098.003,medium
23,App Granted Microsoft Permissions,cloud,T1528,high
24,App Granted Privileged Delegated Or App Permissions,cloud,T1098.003,high
25,Application AppID Uri Configuration Changes,cloud,"T1552, T1078.004",high
26,Application URI Configuration Changes,cloud,"T1528, T1078.004",high
27,Application Using Device Code Authentication Flow,cloud,T1078,medium
28,Applications That Are Using ROPC Authentication Flow,cloud,T1078,medium
29,Atypical Travel,cloud,T1078,high
30,AWS Bedrock Guardrail Deleted,cloud,T1685,medium
31,AWS Bedrock Guardrail Updated,cloud,T1685,medium
32,AWS Bucket Deleted,cloud,,medium
33,AWS CloudTrail Important Change,cloud,T1685.002,medium
34,AWS Config Disabling Channel/Recorder,cloud,T1685.002,high
35,AWS Console GetSigninToken Potential Abuse,cloud,"T1021.007, T1550.001",medium
36,AWS ConsoleLogin Failed Authentication,cloud,T1110,medium
37,AWS EC2 Disable EBS Encryption,cloud,"T1486, T1565",medium
38,AWS EC2 Startup Shell Script Change,cloud,"T1059.001, T1059.003, T1059.004",high
39,AWS EC2 VM Export Failure,cloud,"T1005, T1537",low
40,AWS ECS Task Definition That Queries The Credential Endpoint,cloud,T1525,medium
41,AWS EFS Fileshare Modified or Deleted,cloud,,medium
42,AWS EFS Fileshare Mount Modified or Deleted,cloud,T1485,medium
43,AWS EKS Cluster Created or Deleted,cloud,T1485,low
44,AWS ElastiCache Security Group Created,cloud,"T1136, T1136.003",low
45,AWS ElastiCache Security Group Modified or Deleted,cloud,T1531,low
46,AWS EnableRegion Command Monitoring,cloud,,medium
47,AWS Glue Development Endpoint Activity,cloud,,low
48,AWS GuardDuty Detector Deleted Or Updated,cloud,"T1685, T1685.002",high
49,AWS GuardDuty Important Change,cloud,T1685,high
50,AWS IAM Backdoor Users Keys,cloud,T1098,medium
51,AWS IAM S3Browser LoginProfile Creation,cloud,"T1059.009, T1078.004",high
52,AWS IAM S3Browser Templated S3 Bucket Policy Creation,cloud,"T1059.009, T1078.004",high
53,AWS IAM S3Browser User or AccessKey Creation,cloud,"T1059.009, T1078.004",high
54,AWS Identity Center Identity Provider Change,cloud,T1556,high
55,AWS Key Pair Import Activity,cloud,T1078,medium
56,AWS KMS Imported Key Material Usage,cloud,"T1486, T1608.003",high
57,AWS New Lambda Layer Attached,cloud,,low
58,AWS RDS Master Password Change,cloud,T1020,medium
59,AWS Root Credentials,cloud,T1078.004,medium
60,AWS Route 53 Domain Transfer Lock Disabled,cloud,T1098,low
61,AWS Route 53 Domain Transferred to Another Account,cloud,T1098,low
62,AWS S3 Bucket Versioning Disable,cloud,T1490,medium
63,AWS S3 Data Management Tampering,cloud,T1537,low
64,AWS SAML Provider Deletion Activity,cloud,"T1078.004, T1531",medium
65,AWS SecurityHub Findings Evasion,cloud,T1685,high
66,AWS Snapshot Backup Exfiltration,cloud,T1537,medium
67,AWS STS AssumeRole Misuse,cloud,"T1548, T1550, T1550.001",low
68,AWS STS GetCallerIdentity Enumeration Via TruffleHog,cloud,T1087.004,medium
69,AWS STS GetSessionToken Misuse,cloud,"T1548, T1550, T1550.001",low
70,AWS Successful Console Login Without MFA,cloud,T1078.004,medium
71,AWS Suspicious SAML Activity,cloud,"T1078, T1548, T1550, T1550.001",medium
72,AWS User Login Profile Was Modified,cloud,T1098,high
73,AWS VPC Flow Logs Deleted,cloud,,high
74,Azure Active Directory Hybrid Health AD FS New Server,cloud,T1578,medium
75,Azure Active Directory Hybrid Health AD FS Service Delete,cloud,T1578.003,medium
76,Azure AD Account Credential Leaked,cloud,T1589,high
77,Azure AD Only Single Factor Authentication Required,cloud,"T1078.004, T1556.006",low
78,Azure AD Threat Intelligence,cloud,T1078,high
79,Azure Application Deleted,cloud,T1489,medium
80,Azure Application Gateway Modified or Deleted,cloud,,medium
81,Azure Application Security Group Modified or Deleted,cloud,,medium
82,Azure Container Registry Created or Deleted,cloud,"T1485, T1496, T1489",low
83,Azure Device No Longer Managed or Compliant,cloud,,medium
84,Azure Device or Configuration Modified or Deleted,cloud,"T1485, T1565.001",medium
85,Azure DNS Zone Modified or Deleted,cloud,T1565.001,medium
86,Azure Domain Federation Settings Modified,cloud,T1078,medium
87,Azure Firewall Modified or Deleted,cloud,T1686.001,medium
88,Azure Firewall Rule Collection Modified or Deleted,cloud,T1686.001,medium
89,Azure Firewall Rule Configuration Modified or Deleted,cloud,,medium
90,Azure Key Vault Modified or Deleted,cloud,"T1552, T1552.001",medium
91,Azure Keyvault Key Modified or Deleted,cloud,"T1552, T1552.001",medium
92,Azure Keyvault Secrets Modified or Deleted,cloud,"T1552, T1552.001",medium
93,Azure Kubernetes Admission Controller,cloud,"T1078, T1552, T1552.007",medium
94,Azure Kubernetes Cluster Created or Deleted,cloud,"T1485, T1496, T1489",low
95,Azure Kubernetes CronJob,cloud,T1053.003,medium
96,Azure Kubernetes Events Deleted,cloud,T1685,medium
97,Azure Kubernetes Network Policy Change,cloud,"T1485, T1496, T1489",medium
98,Azure Kubernetes Pods Deleted,cloud,,medium
99,Azure Kubernetes RoleBinding/ClusterRoleBinding Modified and Deleted,cloud,"T1485, T1496, T1489",medium
100,Azure Kubernetes Secret or Config Object Access,cloud,"T1485, T1496, T1489",medium
101,Azure Kubernetes Sensitive Role Access,cloud,"T1485, T1496, T1489",medium
102,Azure Kubernetes Service Account Modified or Deleted,cloud,"T1531, T1485, T1496, T1489",medium
103,Azure Login Bypassing Conditional Access Policies,cloud,T1078,high
104,Azure Network Firewall Policy Modified or Deleted,cloud,T1686.001,medium
105,Azure Network Security Configuration Modified or Deleted,cloud,,medium
106,Azure New CloudShell Created,cloud,T1059,medium
107,Azure Owner Removed From Application or Service Principal,cloud,,medium
108,Azure Point-to-site VPN Modified or Deleted,cloud,,medium
109,Azure Service Principal Created,cloud,,medium
110,Azure Service Principal Removed,cloud,,medium
111,Azure Subscription Permission Elevation Via ActivityLogs,cloud,T1078.004,high
112,Azure Subscription Permission Elevation Via AuditLogs,cloud,T1078,high
113,Azure Suppression Rule Created,cloud,,medium
114,Azure Unusual Authentication Interruption,cloud,T1078,medium
115,Azure Virtual Network Device Modified or Deleted,cloud,,medium
116,Azure Virtual Network Modified or Deleted,cloud,,medium
117,Azure VPN Connection Modified or Deleted,cloud,,medium
118,Bitlocker Key Retrieval,cloud,T1078.004,medium
119,Bulk Deletion Changes To Privileged Account Permissions,cloud,T1098,high
120,CA Policy Removed by Non Approved Actor,cloud,"T1548, T1556",medium
121,CA Policy Updated by Non Approved Actor,cloud,"T1548, T1556",medium
122,Certificate-Based Authentication Enabled,cloud,T1556,medium
123,Change to Authentication Method,cloud,"T1556, T1098",medium
124,Changes to Device Registration Policy,cloud,T1484,high
125,Changes To PIM Settings,cloud,T1078.004,high
126,Data Exfiltration to Unsanctioned Apps,cloud,T1537,medium
127,Delegated Permissions Granted For All Users,cloud,T1528,high
128,Device Registration or Join Without MFA,cloud,T1078.004,medium
129,Disabled MFA to Bypass Authentication Mechanisms,cloud,T1556,medium
130,Disabling Multi Factor Authentication,cloud,T1556.006,high
131,Discovery Using AzureHound,cloud,"T1087.004, T1526",high
132,End User Consent,cloud,T1528,low
133,End User Consent Blocked,cloud,T1528,medium
134,GCP Access Policy Deleted,cloud,T1098,medium
135,GCP Break-glass Container Workload Deployed,cloud,T1548,medium
136,Google Cloud DNS Zone Modified or Deleted,cloud,,medium
137,Google Cloud Firewall Modified or Deleted,cloud,T1685,medium
138,Google Cloud Kubernetes Admission Controller,cloud,"T1078, T1552, T1552.007",medium
139,Google Cloud Kubernetes CronJob,cloud,,medium
140,Google Cloud Kubernetes RoleBinding,cloud,,medium
141,Google Cloud Kubernetes Secrets Modified or Deleted,cloud,,medium
142,Google Cloud Re-identifies Sensitive Information,cloud,T1565,medium
143,Google Cloud Service Account Disabled or Deleted,cloud,T1531,medium
144,Google Cloud Service Account Modified,cloud,,medium
145,Google Cloud SQL Database Modified or Deleted,cloud,,medium
146,Google Cloud Storage Buckets Enumeration,cloud,,low
147,Google Cloud Storage Buckets Modified or Deleted,cloud,,medium
148,Google Cloud VPN Tunnel Modified or Deleted,cloud,,medium
149,Google Full Network Traffic Packet Capture,cloud,T1074,medium
150,Google Workspace Application Access Level Modified,cloud,T1098.003,medium
151,Google Workspace Application Removed,cloud,,medium
152,Google Workspace Government Attack Warning,cloud,T1078,medium
153,Google Workspace Granted Domain API Access,cloud,T1098,medium
154,Google Workspace MFA Disabled,cloud,,medium
155,Google Workspace Out Of Domain Email Forwarding,cloud,T1114.003,medium
156,Google Workspace Role Modified or Deleted,cloud,,medium
157,Google Workspace Role Privilege Deleted,cloud,,medium
158,Google Workspace User Granted Admin Privileges,cloud,T1098,medium
159,Granting Of Permissions To An Account,cloud,T1098.003,medium
